date,#VisitorPerDay
2013-01-01,67
2013-01-02,69
2013-01-03,70
2013-01-04,72
2013-01-05,73
2013-01-06,74
2013-01-07,75
2013-01-08,75
2013-01-09,76
2013-01-10,76
2013-01-11,76
2013-01-12,76
2013-01-13,76
2013-01-14,76
2013-01-15,75
2013-01-16,75
2013-01-17,74
2013-01-18,73
2013-01-19,72
2013-01-20,72
2013-01-21,70
2013-01-22,69
2013-01-23,68
2013-01-24,67
2013-01-25,66
2013-01-26,64
2013-01-27,63
2013-01-28,61
2013-01-29,60
2013-01-30,58
2013-01-31,56
2013-02-01,55
2013-02-02,53
2013-02-03,52
2013-02-04,50
2013-02-05,48
2013-02-06,47
2013-02-07,45
2013-02-08,44
2013-02-09,42
2013-02-10,41
2013-02-11,39
2013-02-12,38
2013-02-13,36
2013-02-14,35
2013-02-15,34
2013-02-16,33
2013-02-17,32
2013-02-18,31
2013-02-19,30
2013-02-20,29
2013-02-21,29
2013-02-22,28
2013-02-23,28
2013-02-24,27
2013-02-25,27
2013-02-26,27
2013-02-27,27
2013-02-28,28
2013-03-01,28
2013-03-02,29
2013-03-03,29
2013-03-04,30
2013-03-05,31
2013-03-06,32
2013-03-07,34
2013-03-08,35
2013-03-09,37
2013-03-10,38
2013-03-11,40
2013-03-12,41
2013-03-13,43
2013-03-14,45
2013-03-15,47
2013-03-16,49
2013-03-17,50
2013-03-18,52
2013-03-19,54
2013-03-20,56
2013-03-21,58
2013-03-22,59
2013-03-23,61
2013-03-24,63
2013-03-25,64
2013-03-26,66
2013-03-27,67
2013-03-28,68
2013-03-29,69
2013-03-30,70
2013-03-31,71
2013-04-01,72
2013-04-02,73
2013-04-03,73
2013-04-04,73
2013-04-05,73
2013-04-06,73
2013-04-07,73
2013-04-08,73
2013-04-09,73
2013-04-10,72
2013-04-11,72
2013-04-12,71
2013-04-13,71
2013-04-14,70
2013-04-15,69
2013-04-16,69
2013-04-17,68
2013-04-18,67
2013-04-19,66
2013-04-20,65
2013-04-21,65
2013-04-22,64
2013-04-23,63
2013-04-24,62
2013-04-25,62
2013-04-26,61
2013-04-27,60
2013-04-28,60
2013-04-29,59
2013-04-30,59
2013-05-01,58
2013-05-02,58
2013-05-03,58
2013-05-04,58
2013-05-05,58
2013-05-06,58
2013-05-07,58
2013-05-08,58
2013-05-09,59
2013-05-10,59
2013-05-11,60
2013-05-12,60
2013-05-13,61
2013-05-14,61
2013-05-15,62
2013-05-16,63
2013-05-17,63
2013-05-18,64
2013-05-19,65
2013-05-20,66
2013-05-21,67
2013-05-22,68
2013-05-23,69
2013-05-24,69
2013-05-25,70
2013-05-26,71
2013-05-27,72
2013-05-28,73
2013-05-29,74
2013-05-30,75
2013-05-31,76
2013-06-01,77
2013-06-02,78
2013-06-03,79
2013-06-04,79
2013-06-05,80
2013-06-06,81
2013-06-07,82
2013-06-08,82
2013-06-09,83
2013-06-10,83
2013-06-11,84
2013-06-12,84
2013-06-13,84
2013-06-14,84
2013-06-15,85
2013-06-16,85
2013-06-17,84
2013-06-18,84
2013-06-19,84
2013-06-20,83
2013-06-21,83
2013-06-22,82
2013-06-23,81
2013-06-24,80
2013-06-25,79
2013-06-26,78
2013-06-27,76
2013-06-28,74
2013-06-29,73
2013-06-30,71
2013-07-01,68
2013-07-02,66
2013-07-03,63
2013-07-04,61
2013-07-05,58
2013-07-06,55
2013-07-07,52
2013-07-08,49
2013-07-09,45
2013-07-10,42
2013-07-11,39
2013-07-12,36
2013-07-13,33
2013-07-14,30
2013-07-15,27
2013-07-16,24
2013-07-17,21
2013-07-18,19
2013-07-19,16
2013-07-20,14
2013-07-21,12
2013-07-22,10
2013-07-23,9
2013-07-24,7
2013-07-25,6
2013-07-26,6
2013-07-27,5
2013-07-28,5
2013-07-29,6
2013-07-30,7
2013-07-31,8
2013-08-01,10
2013-08-02,12
2013-08-03,15
2013-08-04,18
2013-08-05,21
2013-08-06,25
2013-08-07,29
2013-08-08,33
2013-08-09,38
2013-08-10,43
2013-08-11,48
2013-08-12,53
2013-08-13,58
2013-08-14,64
2013-08-15,69
2013-08-16,74
2013-08-17,80
2013-08-18,85
2013-08-19,91
2013-08-20,96
2013-08-21,101
2013-08-22,106
2013-08-23,111
2013-08-24,116
2013-08-25,120
2013-08-26,124
2013-08-27,128
2013-08-28,132
2013-08-29,135
2013-08-30,137
2013-08-31,140
2013-09-01,141
2013-09-02,143
2013-09-03,144
2013-09-04,144
2013-09-05,144
2013-09-06,143
2013-09-07,143
2013-09-08,141
2013-09-09,140
2013-09-10,138
2013-09-11,136
2013-09-12,134
2013-09-13,132
2013-09-14,129
2013-09-15,126
2013-09-16,123
2013-09-17,120
2013-09-18,117
2013-09-19,114
2013-09-20,111
2013-09-21,107
2013-09-22,104
2013-09-23,101
2013-09-24,98
2013-09-25,95
2013-09-26,92
2013-09-27,89
2013-09-28,87
2013-09-29,84
2013-09-30,82
2013-10-01,80
2013-10-02,79
2013-10-03,78
2013-10-04,76
2013-10-05,76
2013-10-06,75
2013-10-07,75
2013-10-08,74
2013-10-09,74
2013-10-10,75
2013-10-11,75
2013-10-12,75
2013-10-13,76
2013-10-14,77
2013-10-15,77
2013-10-16,78
2013-10-17,79
2013-10-18,80
2013-10-19,81
2013-10-20,83
2013-10-21,84
2013-10-22,85
2013-10-23,86
2013-10-24,87
2013-10-25,88
2013-10-26,89
2013-10-27,90
2013-10-28,91
2013-10-29,92
2013-10-30,93
2013-10-31,93
2013-11-01,94
2013-11-02,94
2013-11-03,94
2013-11-04,94
2013-11-05,94
2013-11-06,94
2013-11-07,94
2013-11-08,93
2013-11-09,93
2013-11-10,92
2013-11-11,92
2013-11-12,91
2013-11-13,90
2013-11-14,89
2013-11-15,88
2013-11-16,88
2013-11-17,87
2013-11-18,86
2013-11-19,85
2013-11-20,84
2013-11-21,83
2013-11-22,82
2013-11-23,81
2013-11-24,80
2013-11-25,79
2013-11-26,78
2013-11-27,77
2013-11-28,76
2013-11-29,75
2013-11-30,75
2013-12-01,74
2013-12-02,73
2013-12-03,73
2013-12-04,72
2013-12-05,72
2013-12-06,72
2013-12-07,71
2013-12-08,71
2013-12-09,71
2013-12-10,71
2013-12-11,71
2013-12-12,71
2013-12-13,71
2013-12-14,71
2013-12-15,72
2013-12-16,72
2013-12-17,72
2013-12-18,72
2013-12-19,73
2013-12-20,73
2013-12-21,74
2013-12-22,74
2013-12-23,75
2013-12-24,76
2013-12-25,76
2013-12-26,77
2013-12-27,78
2013-12-28,79
2013-12-29,79
2013-12-30,80
2013-12-31,81
2014-01-01,82
2014-01-02,83
2014-01-03,84
2014-01-04,85
2014-01-05,86
2014-01-06,87
2014-01-07,88
