date,#VisitorPerWeek
2013-01-06,521
2013-01-13,548
2013-01-20,524
2013-01-27,464
2013-02-03,384
2013-02-10,300
2013-02-17,226
2013-02-24,179
2013-03-03,173
2013-03-10,219
2013-03-17,300
2013-03-24,395
2013-03-31,482
2013-04-07,540
2013-04-14,553
2013-04-21,531
2013-04-28,493
2013-05-05,452
2013-05-12,426
2013-05-19,416
2013-05-26,427
2013-06-02,461
2013-06-09,515
2013-06-16,571
2013-06-23,607
2013-06-30,601
2013-07-07,529
2013-07-14,385
2013-07-21,219
2013-07-28,94
2013-08-04,76
2013-08-11,205
2013-08-18,429
2013-08-25,669
2013-09-01,848
2013-09-08,910
2013-09-15,876
2013-09-22,789
2013-09-29,690
2013-10-06,623
2013-10-13,617
2013-10-20,650
2013-10-27,690
2013-11-03,702
2013-11-10,663
2013-11-17,591
2013-11-24,513
2013-12-01,458
2013-12-08,446
2013-12-15,471
2013-12-22,520
2013-12-29,579
2014-01-05,636
2014-01-12,677
2014-01-19,686
2014-01-26,650
2014-02-02,552
2014-02-09,391
2014-02-16,218
2014-02-23,96
2014-03-02,89
2014-03-09,237
2014-03-16,487
2014-03-23,764
2014-03-30,989
2014-04-06,1086
2014-04-13,1009
2014-04-20,825
2014-04-27,633
2014-05-04,531
2014-05-11,584
2014-05-18,733
2014-05-25,883
2014-06-01,943
2014-06-08,848
2014-06-15,652
2014-06-22,440
2014-06-29,295
2014-07-06,300
2014-07-13,507
2014-07-20,833
2014-07-27,1161
2014-08-03,1375
2014-08-10,1393
2014-08-17,1261
2014-08-24,1057
2014-08-31,859
2014-09-07,748
2014-09-14,774
2014-09-21,890
2014-09-28,1018
2014-10-05,1085
2014-10-12,1036
2014-10-19,903
2014-10-26,739
2014-11-02,598
2014-11-09,523
2014-11-16,513
2014-11-23,557
2014-11-30,642
2014-12-07,757
2014-12-14,889
2014-12-21,1017
2014-12-28,1116
2015-01-04,1164
2015-01-11,1144
2015-01-18,1072
2015-01-25,970
2015-02-01,861
2015-02-08,767
2015-02-15,705
2015-02-22,690
2015-03-01,738
2015-03-08,856
2015-03-15,1015
2015-03-22,1177
